Feature,Importance
PT(°C),47.8393758849206
RT(min),9.392886041474823
O(%),5.954877818765868
C(%),5.918866552219964
N(%),5.8370671258144435
Ash(%),5.754715375723135
FC(%),5.351435400506113
H(%),4.932623029786317
VM(%),4.526532190815667
HR(℃/min),4.491620579973054
