Feature,Importance
VM(%),26.263292985217525
PT(°C),16.851985715988977
RT(min),10.062614643773161
FC(%),9.49227663244704
H(%),7.828805698823604
C(%),7.3922404972082285
O(%),5.9768757362161065
HR(℃/min),5.86819522689701
N(%),5.714463860179683
Ash(%),4.549249003248649
