Feature,Importance
VM(%),24.581960596113966
PT(°C),12.315691328666876
H(%),12.13704296978109
FC(%),10.057686088794531
RT(min),9.096294367703464
C(%),8.880657080341452
O(%),7.4888816723238065
N(%),5.77563233369607
Ash(%),5.742001265099103
HR(℃/min),3.924152297479644
